episode,epReward,cumReward,cumRegret,empRegret
360000,-2.92,92953.94,46236.23,46517.43
370000,-0.50,96422.07,46517.37,46923.51
380000,0.00,99852.20,46786.74,47367.58
390000,1.76,103233.45,47043.89,47860.54
400000,0.43,106883.33,47283.49,48084.87
410000,-0.98,110472.22,47506.08,48370.18
420000,0.00,114167.58,47729.06,48549.03
430000,-0.82,117686.93,47936.59,48903.88
440000,-0.20,121266.46,48122.32,49198.55
450000,0.00,124775.35,48271.77,49563.87
460000,-0.78,128420.73,48455.98,49792.69
470000,0.31,132286.11,48654.97,49801.51
480000,0.00,135783.76,48777.36,50178.07
490000,-0.45,139542.54,48966.14,50293.50
500000,-1.10,143370.69,49178.30,50339.55
510000,-0.98,147054.18,49347.00,50530.27
520000,2.79,150851.26,49497.43,50607.39
530000,0.49,154412.41,49641.80,50920.45
540000,0.00,157940.16,49739.47,51266.90
550000,2.07,161860.79,49871.98,51220.48
560000,1.55,165557.29,49989.79,51398.18
570000,0.00,169458.10,50102.16,51371.58
580000,1.80,173351.35,50205.69,51352.53
590000,0.00,177126.71,50268.99,51451.38
600000,-0.13,180876.26,50348.24,51576.04
610000,-1.16,184701.71,50414.56,51624.79
620000,0.00,188253.51,50472.41,51947.20
630000,1.48,192062.26,50519.21,52012.65
640000,2.45,195852.12,50547.52,52096.99
650000,0.00,199708.13,50576.14,52115.19
660000,0.77,203480.81,50604.95,52216.71
670000,-2.96,207478.91,50632.76,52092.82
680000,0.00,211423.40,50665.66,52022.53
690000,0.46,215270.54,50705.39,52049.59
700000,0.00,219098.99,50739.81,52095.36
710000,0.58,222559.44,50770.75,52509.11
720000,1.15,226569.43,50820.56,52373.32
730000,-2.22,230224.70,50876.53,52592.25
740000,1.70,233996.19,50901.10,52694.97
750000,0.65,237731.23,50926.48,52834.14
760000,0.00,241483.86,50949.34,52955.71
770000,1.52,245217.71,50972.29,53096.07
780000,0.21,249010.15,50993.72,53177.83
790000,-1.04,252966.81,51017.48,53095.37
800000,0.00,256873.02,51036.29,53063.37
810000,1.67,260678.68,51056.72,53131.92
820000,0.00,264348.99,51078.86,53335.81
830000,-0.71,268293.05,51098.48,53265.95
840000,-2.07,272122.06,51116.48,53311.15
850000,0.80,276049.37,51136.91,53258.05
860000,1.95,280099.73,51155.72,53081.89
870000,-1.62,284018.54,51174.53,53037.29
880000,0.00,287961.40,51192.53,52968.63
890000,2.12,292066.93,51209.72,52737.31
900000,-0.36,296007.36,51227.72,52671.08
910000,2.21,300225.20,51245.72,52327.45
920000,0.00,304213.72,51262.91,52213.13
930000,1.14,308106.84,51280.10,52194.22
940000,-0.27,311852.19,51296.48,52323.07
950000,0.47,315744.27,51314.67,52305.20
960000,-2.30,319376.45,51331.05,52547.22
970000,-2.36,323218.83,51345.81,52579.04
980000,1.49,327150.18,51362.19,52521.90
990000,-0.11,330738.35,51378.57,52807.93
1000000,1.03,334586.13,51394.95,52834.36
