episode,epReward,cumReward,cumRegret,empRegret
750000,0.98,303350.96,3186.11,3849.04
760000,2.02,307310.91,3187.11,3985.09
770000,-0.97,311362.28,3187.11,4029.72
780000,0.00,315389.86,3187.11,4098.14
790000,-1.07,319323.69,3187.11,4260.31
800000,0.32,323320.07,3187.11,4359.93
810000,2.29,327418.04,3187.11,4357.96
820000,1.37,331532.44,3187.11,4339.56
830000,1.94,335712.30,3187.11,4255.70
840000,2.04,339890.53,3187.11,4173.47
850000,-2.68,343990.01,3187.11,4169.99
860000,0.25,348079.43,3187.11,4176.57
870000,-1.13,352098.78,3187.11,4253.22
880000,0.04,355753.27,3187.11,4694.73
890000,-0.12,359928.01,3187.11,4615.99
900000,0.43,364072.99,3187.11,4567.01
910000,-0.08,368282.89,3187.11,4453.11
920000,1.06,372346.65,3187.11,4485.35
930000,4.26,376523.53,3187.11,4404.47
940000,1.21,380702.34,3188.11,4321.66
950000,1.44,384939.79,3188.11,4180.21
960000,1.18,389132.04,3188.11,4083.96
970000,-1.82,393191.01,3188.11,4120.99
980000,0.00,397209.26,3188.11,4198.74
990000,-0.83,401275.51,3188.11,4228.49
1000000,-0.41,405248.63,3188.11,4351.37
